"","Date","Soybean","Year","Month","Quarter","Oil","CPI","PPI","US_GDP","CHN_GDP","D0","D1","D2","D3","D4"
"1",2002-01-02,4.1825,2002,1,1,21.13,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"2",2002-01-03,4.24,2002,1,1,20.65,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"3",2002-01-04,4.245,2002,1,1,21.47,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"4",2002-01-07,4.3075,2002,1,1,21.42,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"5",2002-01-08,4.35,2002,1,1,20.82,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"6",2002-01-09,4.395,2002,1,1,20.32,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"7",2002-01-10,4.325,2002,1,1,20.48,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"8",2002-01-11,4.43,2002,1,1,19.67,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"9",2002-01-14,4.4675,2002,1,1,18.88,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"10",2002-01-15,4.46,2002,1,1,18.99,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"11",2002-01-16,4.525,2002,1,1,18.96,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"12",2002-01-17,4.5075,2002,1,1,18.2,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"13",2002-01-18,4.455,2002,1,1,18.02,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"14",2002-01-22,4.39,2002,1,1,18.36,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"15",2002-01-23,4.335,2002,1,1,19.1,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"16",2002-01-24,4.3725,2002,1,1,19.57,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"17",2002-01-25,4.3075,2002,1,1,19.8,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"18",2002-01-28,4.31,2002,1,1,20.05,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"19",2002-01-29,4.285,2002,1,1,19.3,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"20",2002-01-30,4.2775,2002,1,1,19.11,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"21",2002-01-31,4.3025,2002,1,1,19.71,177.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"22",2002-02-01,4.2675,2002,2,1,20.4,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"23",2002-02-04,4.34,2002,2,1,20.02,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"24",2002-02-05,4.3275,2002,2,1,20.06,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"25",2002-02-06,4.28,2002,2,1,19.77,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"26",2002-02-07,4.3125,2002,2,1,19.75,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"27",2002-02-08,4.29,2002,2,1,20.25,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"28",2002-02-11,4.31,2002,2,1,21.29,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"29",2002-02-12,4.3625,2002,2,1,20.76,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"30",2002-02-13,4.395,2002,2,1,21.19,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"31",2002-02-14,4.3625,2002,2,1,21.19,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"32",2002-02-15,4.3725,2002,2,1,21.47,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"33",2002-02-19,4.3825,2002,2,1,20.77,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"34",2002-02-20,4.45,2002,2,1,20.31,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"35",2002-02-21,4.44,2002,2,1,20.81,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"36",2002-02-22,4.4125,2002,2,1,20.92,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"37",2002-02-25,4.375,2002,2,1,20.24,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"38",2002-02-26,4.3845,2002,2,1,21.37,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"39",2002-02-27,4.456,2002,2,1,21.4,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"40",2002-02-28,4.3935,2002,2,1,21.78,178,128.4,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"41",2002-03-01,4.515,2002,3,1,22.37,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"42",2002-03-04,4.51,2002,3,1,22.55,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"43",2002-03-05,4.5725,2002,3,1,23.18,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"44",2002-03-06,4.545,2002,3,1,23.32,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"45",2002-03-07,4.595,2002,3,1,23.62,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"46",2002-03-08,4.655,2002,3,1,23.87,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"47",2002-03-11,4.6475,2002,3,1,24.36,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"48",2002-03-12,4.6325,2002,3,1,24.55,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"49",2002-03-13,4.6275,2002,3,1,24.14,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"50",2002-03-14,4.685,2002,3,1,24.48,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"51",2002-03-15,4.7225,2002,3,1,24.47,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"52",2002-03-18,4.605,2002,3,1,25.03,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"53",2002-03-19,4.635,2002,3,1,25.02,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"54",2002-03-20,4.585,2002,3,1,24.92,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"55",2002-03-21,4.5925,2002,3,1,25.74,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"56",2002-03-22,4.645,2002,3,1,25.56,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"57",2002-03-25,4.625,2002,3,1,25.69,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"58",2002-03-26,4.6775,2002,3,1,25.75,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"59",2002-03-27,4.7275,2002,3,1,25.79,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
"60",2002-03-28,4.7625,2002,3,1,26.21,178.5,129.8,13280.859,1470550.015082,21634.46,9537.02,4338.82,2206.23,421.75
