"","Month","Day","Year","value","Date","quarter"
"1","12","5",1968,2.4375,1968-12-05,4
"2","12","6",1968,2.4475,1968-12-06,4
"3","12","9",1968,2.4363,1968-12-09,4
"4","12","10",1968,2.4375,1968-12-10,4
"5","12","11",1968,2.4463,1968-12-11,4
"6","12","12",1968,2.45,1968-12-12,4
"7","12","13",1968,2.4575,1968-12-13,4
"8","12","16",1968,2.455,1968-12-16,4
"9","12","17",1968,2.4488,1968-12-17,4
"10","12","18",1968,2.4475,1968-12-18,4
"11","12","19",1968,2.4488,1968-12-19,4
"12","12","20",1968,2.4625,1968-12-20,4
"13","12","23",1968,2.4788,1968-12-23,4
"14","12","24",1968,2.46,1968-12-24,4
"15","12","26",1968,2.4625,1968-12-26,4
"16","12","27",1968,2.4625,1968-12-27,4
"17","12","30",1968,2.4663,1968-12-30,4
"18","12","31",1968,2.4663,1968-12-31,4
"19","1","2",1969,2.465,1969-01-02,1
"20","1","3",1969,2.4638,1969-01-03,1
"21","1","6",1969,2.47,1969-01-06,1
"22","1","7",1969,2.4725,1969-01-07,1
"23","1","8",1969,2.4938,1969-01-08,1
"24","1","9",1969,2.4913,1969-01-09,1
"25","1","10",1969,2.4825,1969-01-10,1
"26","1","13",1969,2.445,1969-01-13,1
"27","1","14",1969,2.4425,1969-01-14,1
"28","1","15",1969,2.4513,1969-01-15,1
"29","1","16",1969,2.4588,1969-01-16,1
"30","1","17",1969,2.455,1969-01-17,1
"31","1","20",1969,2.455,1969-01-20,1
"32","1","21",1969,2.455,1969-01-21,1
"33","1","22",1969,2.4563,1969-01-22,1
"34","1","23",1969,2.465,1969-01-23,1
"35","1","24",1969,2.4625,1969-01-24,1
"36","1","27",1969,2.4575,1969-01-27,1
"37","1","28",1969,2.455,1969-01-28,1
"38","1","29",1969,2.455,1969-01-29,1
"39","1","30",1969,2.455,1969-01-30,1
"40","1","31",1969,2.4575,1969-01-31,1
"41","2","3",1969,2.4525,1969-02-03,1
"42","2","4",1969,2.4563,1969-02-04,1
"43","2","5",1969,2.4563,1969-02-05,1
"44","2","6",1969,2.4575,1969-02-06,1
"45","2","7",1969,2.4538,1969-02-07,1
"46","2","10",1969,2.4475,1969-02-10,1
"47","2","11",1969,2.4463,1969-02-11,1
"48","2","12",1969,2.4475,1969-02-12,1
"49","2","13",1969,2.4488,1969-02-13,1
"50","2","14",1969,2.435,1969-02-14,1
"51","2","17",1969,2.43,1969-02-17,1
"52","2","18",1969,2.4313,1969-02-18,1
"53","2","19",1969,2.4413,1969-02-19,1
"54","2","20",1969,2.435,1969-02-20,1
"55","2","24",1969,2.4325,1969-02-24,1
"56","2","25",1969,2.43,1969-02-25,1
"57","2","26",1969,2.4275,1969-02-26,1
"58","2","27",1969,2.43,1969-02-27,1
"59","2","28",1969,2.4388,1969-02-28,1
"60","3","3",1969,2.43,1969-03-03,1
"61","3","4",1969,2.435,1969-03-04,1
"62","3","5",1969,2.4138,1969-03-05,1
"63","3","6",1969,2.41,1969-03-06,1
"64","3","7",1969,2.4063,1969-03-07,1
"65","3","10",1969,2.3988,1969-03-10,1
"66","3","11",1969,2.3988,1969-03-11,1
"67","3","12",1969,2.3963,1969-03-12,1
"68","3","13",1969,2.3913,1969-03-13,1
"69","3","14",1969,2.3875,1969-03-14,1
"70","3","17",1969,2.3763,1969-03-17,1
"71","3","18",1969,2.375,1969-03-18,1
"72","3","19",1969,2.375,1969-03-19,1
"73","3","20",1969,2.3788,1969-03-20,1
"74","3","21",1969,2.3775,1969-03-21,1
"75","3","24",1969,2.3788,1969-03-24,1
"76","3","25",1969,2.3875,1969-03-25,1
"77","3","26",1969,2.385,1969-03-26,1
"78","3","27",1969,2.3875,1969-03-27,1
"79","3","28",1969,2.3975,1969-03-28,1
"80","4","1",1969,2.3925,1969-04-01,2
"81","4","2",1969,2.3825,1969-04-02,2
"82","4","3",1969,2.3875,1969-04-03,2
"83","4","7",1969,2.39,1969-04-07,2
"84","4","8",1969,2.395,1969-04-08,2
"85","4","9",1969,2.395,1969-04-09,2
"86","4","10",1969,2.395,1969-04-10,2
