Date,D4,D3,D2,D1,D0,None
10/29/2019,0.00,0.00,0.00,2.53,10.70,89.30
10/22/2019,0.00,0.00,0.16,2.99,21.63,78.37
10/15/2019,0.00,0.00,0.16,9.13,33.32,66.68
10/08/2019,0.00,0.00,1.36,10.97,31.12,68.88
10/01/2019,0.00,0.00,5.79,11.77,45.65,54.35
09/24/2019,0.00,0.00,4.31,9.16,41.68,58.32
09/17/2019,0.00,0.00,2.46,10.52,41.45,58.55
09/10/2019,0.00,0.00,0.00,3.79,13.78,86.22
09/03/2019,0.00,0.00,0.00,1.28,6.15,93.85
08/27/2019,0.00,0.00,0.00,0.41,6.15,93.85
08/20/2019,0.00,0.00,0.00,0.00,1.90,98.10
08/13/2019,0.00,0.00,0.00,0.00,0.37,99.63
08/06/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/30/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/23/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/25/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/18/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/11/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/04/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/28/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/21/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/14/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/07/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/30/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/23/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/19/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/12/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/05/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/19/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/12/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/05/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/29/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/22/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/15/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/08/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/01/2019,0.00,0.00,0.00,0.00,1.21,98.79
12/25/2018,0.00,0.00,0.00,1.22,6.96,93.04
12/18/2018,0.00,0.00,0.00,1.22,6.96,93.04
12/11/2018,0.00,0.00,0.00,0.00,6.98,93.02
12/04/2018,0.00,0.00,0.00,0.00,6.98,93.02
11/27/2018,0.00,0.00,0.00,0.90,6.98,93.02
11/20/2018,0.00,0.00,0.00,0.00,1.29,98.71
11/13/2018,0.00,0.00,0.00,0.00,1.29,98.71
11/06/2018,0.00,0.00,0.00,0.00,1.29,98.71
10/30/2018,0.00,0.00,0.00,0.00,3.62,96.38
10/23/2018,0.00,0.00,0.00,0.00,3.62,96.38
10/16/2018,0.00,0.00,0.00,0.09,4.40,95.60
10/09/2018,0.00,0.00,0.00,2.50,12.54,87.46
10/02/2018,0.00,0.00,0.00,2.54,6.58,93.42
09/25/2018,0.00,0.00,0.00,2.59,6.85,93.15
09/18/2018,0.00,0.00,0.00,3.98,9.81,90.19
09/11/2018,0.00,0.00,0.00,3.34,9.13,90.87
09/04/2018,0.00,0.00,0.18,5.93,11.61,88.39
08/28/2018,0.00,0.00,0.43,6.08,14.51,85.49
08/21/2018,0.00,0.00,0.43,9.31,53.92,46.08
08/14/2018,0.00,0.00,4.52,48.60,76.95,23.05
08/07/2018,0.00,0.00,6.47,63.05,89.01,10.99
07/31/2018,0.00,0.00,3.35,60.54,89.10,10.90
07/24/2018,0.00,0.00,17.95,64.83,85.14,14.86
07/17/2018,0.00,0.00,2.50,47.19,81.90,18.10
07/10/2018,0.00,0.00,2.19,46.13,81.32,18.68
07/03/2018,0.00,0.00,2.19,35.85,79.83,20.17
06/26/2018,0.00,0.00,0.08,26.90,69.19,30.81
06/19/2018,0.00,0.00,2.87,20.31,73.45,26.55
06/12/2018,0.00,0.00,0.00,8.12,58.70,41.30
06/05/2018,0.00,0.00,0.00,6.65,25.42,74.58
05/29/2018,0.00,0.00,0.00,0.80,7.78,92.22
05/22/2018,0.00,0.00,0.00,0.00,3.80,96.20
05/15/2018,0.00,0.00,0.00,0.00,0.00,100.00
05/08/2018,0.00,0.00,0.00,0.00,0.00,100.00
05/01/2018,0.00,0.00,0.00,0.00,0.00,100.00
04/24/2018,0.00,0.00,0.00,0.00,0.00,100.00
04/17/2018,0.00,0.00,0.00,0.00,0.00,100.00
04/10/2018,0.00,0.00,0.00,0.00,0.00,100.00
04/03/2018,0.00,0.00,0.00,0.00,0.00,100.00
03/27/2018,0.00,0.00,0.00,0.00,0.00,100.00
03/20/2018,0.00,0.00,0.00,0.00,0.00,100.00
03/13/2018,0.00,0.00,0.00,0.00,3.74,96.26
03/06/2018,0.00,0.00,0.00,0.00,3.93,96.07
02/27/2018,0.00,0.00,0.00,1.91,31.14,68.86
02/20/2018,0.00,1.91,26.31,42.71,59.71,40.29
02/13/2018,0.00,2.37,29.28,49.33,65.46,34.54
02/06/2018,0.00,2.37,31.41,67.49,92.39,7.61
01/30/2018,0.00,2.37,30.98,66.87,92.22,7.78
01/23/2018,0.00,2.37,30.98,66.87,92.22,7.78
01/16/2018,0.00,2.37,30.98,66.45,92.22,7.78
01/09/2018,0.00,2.37,32.01,73.23,92.23,7.77
01/02/2018,0.00,2.37,32.01,71.27,91.78,8.22
12/26/2017,0.00,2.37,11.76,64.50,91.32,8.68
12/19/2017,0.00,25.31,86.65,97.45,100.00,0.00
12/12/2017,0.00,42.40,86.65,97.45,100.00,0.00
12/05/2017,0.00,26.13,72.00,92.09,98.61,1.39
11/28/2017,0.00,0.00,56.64,83.12,97.01,2.99
11/21/2017,0.00,0.00,56.64,83.12,97.01,2.99
11/14/2017,0.00,0.00,46.42,73.72,95.04,4.96
11/07/2017,0.00,0.00,28.13,62.51,80.19,19.81
10/31/2017,0.00,0.00,0.00,62.17,80.77,19.23
10/24/2017,0.00,0.00,0.00,61.51,80.77,19.23
10/17/2017,0.00,0.00,0.00,56.80,79.40,20.60
10/10/2017,0.00,0.00,0.00,29.75,67.94,32.06
10/03/2017,0.00,0.00,0.00,29.13,67.94,32.06
09/26/2017,0.00,0.00,0.00,0.46,60.43,39.57
09/19/2017,0.00,0.00,0.00,0.00,47.34,52.66
09/12/2017,0.00,0.00,0.00,0.00,5.24,94.76
09/05/2017,0.00,0.00,0.00,0.00,0.00,100.00
08/29/2017,0.00,0.00,0.00,0.00,0.00,100.00
08/22/2017,0.00,0.00,0.00,0.00,0.00,100.00
08/15/2017,0.00,0.00,0.00,0.00,0.00,100.00
08/08/2017,0.00,0.00,0.00,0.00,0.29,99.71
08/01/2017,0.00,0.00,0.00,0.00,0.31,99.69
07/25/2017,0.00,0.00,0.00,0.00,0.00,100.00
07/18/2017,0.00,0.00,0.00,0.00,0.00,100.00
07/11/2017,0.00,0.00,0.00,0.00,0.00,100.00
07/04/2017,0.00,0.00,0.00,0.00,1.05,98.95
06/27/2017,0.00,0.00,0.00,0.00,1.14,98.86
06/20/2017,0.00,0.00,0.00,0.00,0.42,99.58
06/13/2017,0.00,0.00,0.00,0.00,0.57,99.43
06/06/2017,0.00,0.00,0.00,0.00,0.00,100.00
05/30/2017,0.00,0.00,0.00,0.00,0.86,99.14
05/23/2017,0.00,0.00,0.00,0.00,0.86,99.14
05/16/2017,0.00,0.00,0.00,0.36,3.28,96.72
05/09/2017,0.00,0.00,0.00,1.11,5.25,94.75
05/02/2017,0.00,0.00,0.00,1.11,5.24,94.76
04/25/2017,0.00,0.00,0.00,7.78,44.49,55.51
04/18/2017,0.00,0.00,4.14,22.47,55.02,44.98
04/11/2017,0.00,0.00,4.14,22.47,55.02,44.98
04/04/2017,0.00,0.00,2.07,18.90,54.02,45.98
03/28/2017,0.00,0.00,2.00,18.87,55.12,44.88
03/21/2017,0.00,2.00,18.34,40.08,85.81,14.19
03/14/2017,0.00,2.00,18.29,39.95,77.00,23.00
03/07/2017,0.00,2.00,18.35,41.37,78.29,21.71
02/28/2017,0.00,2.00,18.29,34.06,76.69,23.31
02/21/2017,0.00,2.00,14.80,33.46,73.61,26.39
02/14/2017,0.00,2.02,14.80,32.66,55.57,44.43
02/07/2017,0.00,2.02,14.80,32.28,55.57,44.43
01/31/2017,0.00,2.02,12.50,30.46,50.69,49.31
01/24/2017,0.00,2.02,12.50,30.46,50.69,49.31
01/17/2017,0.00,2.02,6.69,42.18,72.95,27.05
01/10/2017,0.00,2.02,9.07,43.71,72.95,27.05
01/03/2017,0.00,2.02,7.99,39.03,72.95,27.05
12/27/2016,0.00,0.00,7.21,40.46,76.25,23.75
12/20/2016,0.00,0.00,5.81,89.36,100.00,0.00
12/13/2016,0.00,0.00,4.09,87.30,100.00,0.00
12/06/2016,0.00,0.00,3.97,86.69,100.00,0.00
11/29/2016,0.00,0.49,46.92,86.49,100.00,0.00
11/22/2016,0.00,1.64,64.30,91.89,100.00,0.00
11/15/2016,0.00,1.13,13.82,82.50,96.54,3.46
11/08/2016,0.00,0.00,7.51,67.12,86.31,13.69
11/01/2016,0.00,0.00,3.88,61.29,83.53,16.47
10/25/2016,0.00,0.00,1.16,29.01,69.13,30.87
10/18/2016,0.00,0.00,0.00,29.01,69.13,30.87
10/11/2016,0.00,0.00,0.00,19.00,67.45,32.55
10/04/2016,0.00,0.00,0.00,0.00,43.11,56.89
09/27/2016,0.00,0.00,0.00,0.00,28.98,71.02
09/20/2016,0.00,0.00,0.00,0.00,1.15,98.85
09/13/2016,0.00,0.00,0.00,0.00,1.15,98.85
09/06/2016,0.00,0.00,0.00,0.00,0.04,99.96
08/30/2016,0.00,0.00,0.00,0.00,0.04,99.96
08/23/2016,0.00,0.00,0.00,0.00,0.04,99.96
08/16/2016,0.00,0.00,0.00,0.00,4.21,95.79
08/09/2016,0.00,0.00,0.00,0.00,32.16,67.84
08/02/2016,0.00,0.00,0.00,0.08,37.29,62.71
07/26/2016,0.00,0.00,0.00,1.09,43.25,56.75
07/19/2016,0.00,0.00,0.00,0.00,44.72,55.28
07/12/2016,0.00,0.00,0.00,0.00,27.32,72.68
07/05/2016,0.00,0.00,0.00,0.00,13.17,86.83
06/28/2016,0.00,0.00,0.00,0.00,5.09,94.91
06/21/2016,0.00,0.00,0.00,0.00,5.06,94.94
06/14/2016,0.00,0.00,0.00,0.00,4.86,95.14
06/07/2016,0.00,0.00,0.00,0.00,5.99,94.01
05/31/2016,0.00,0.00,0.00,0.00,5.99,94.01
05/24/2016,0.00,0.00,0.00,0.00,5.99,94.01
05/17/2016,0.00,0.00,0.00,0.00,4.82,95.18
05/10/2016,0.00,0.00,0.00,0.00,17.91,82.09
05/03/2016,0.00,0.00,0.00,0.00,17.91,82.09
04/26/2016,0.00,0.00,0.00,0.00,28.75,71.25
04/19/2016,0.00,0.00,0.00,0.00,28.75,71.25
04/12/2016,0.00,0.00,0.00,0.00,6.36,93.64
04/05/2016,0.00,0.00,0.00,0.00,6.36,93.64
03/29/2016,0.00,0.00,0.00,0.00,19.55,80.45
03/22/2016,0.00,0.00,0.00,0.00,0.00,100.00
03/15/2016,0.00,0.00,0.00,0.00,0.00,100.00
03/08/2016,0.00,0.00,0.00,0.00,6.13,93.87
03/01/2016,0.00,0.00,0.00,0.00,5.01,94.99
