Date,D4,D3,D2,D1,D0,None
10/29/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/22/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/15/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/08/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/01/2019,0.00,0.00,0.00,0.00,0.00,100.00
09/24/2019,0.00,0.00,0.00,0.00,6.47,93.53
09/17/2019,0.00,0.00,0.00,4.33,27.32,72.68
09/10/2019,0.00,0.00,0.00,9.68,44.65,55.35
09/03/2019,0.00,0.00,0.00,11.89,53.28,46.72
08/27/2019,0.00,0.00,0.00,6.89,49.75,50.25
08/20/2019,0.00,0.00,0.00,6.29,40.85,59.15
08/13/2019,0.00,0.00,0.00,9.50,52.60,47.40
08/06/2019,0.00,0.00,0.00,0.00,36.39,63.61
07/30/2019,0.00,0.00,0.00,0.00,23.48,76.52
07/23/2019,0.00,0.00,0.00,0.00,11.23,88.77
07/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/25/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/18/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/11/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/04/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/28/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/21/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/14/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/07/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/30/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/23/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/19/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/12/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/05/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/19/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/12/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/05/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/29/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/22/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/15/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/08/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/01/2019,0.00,0.00,0.00,0.00,0.00,100.00
12/25/2018,0.00,0.00,0.00,0.00,0.00,100.00
12/18/2018,0.00,0.00,0.00,0.00,0.00,100.00
12/11/2018,0.00,0.00,0.00,0.00,0.00,100.00
12/04/2018,0.00,0.00,0.00,0.00,0.00,100.00
11/27/2018,0.00,0.00,0.00,0.00,0.00,100.00
11/20/2018,0.00,0.00,0.00,0.00,0.00,100.00
11/13/2018,0.00,0.00,0.00,0.00,0.00,100.00
11/06/2018,0.00,0.00,0.00,0.00,0.00,100.00
10/30/2018,0.00,0.00,0.00,0.00,1.47,98.53
10/23/2018,0.00,0.00,0.00,0.00,1.47,98.53
10/16/2018,0.00,0.00,0.00,0.00,1.47,98.53
10/09/2018,0.00,0.00,0.00,0.84,2.27,97.73
10/02/2018,0.00,0.00,0.84,2.15,6.36,93.64
09/25/2018,0.00,0.00,0.84,2.15,6.36,93.64
