Date,D4,D3,D2,D1,D0,None
10/29/2019,0.00,0.00,0.00,0.00,0.69,99.31
10/22/2019,0.00,0.00,0.00,0.64,13.09,86.91
10/15/2019,0.00,0.00,0.13,11.74,16.63,83.37
10/08/2019,0.00,0.00,0.13,10.73,21.42,78.58
10/01/2019,0.00,0.00,0.19,10.78,17.84,82.16
09/24/2019,0.00,0.00,0.00,6.31,29.20,70.80
09/17/2019,0.00,0.00,0.00,5.79,38.16,61.84
09/10/2019,0.00,0.00,0.00,11.71,33.06,66.94
09/03/2019,0.00,0.00,0.00,11.71,37.38,62.62
08/27/2019,0.00,0.00,0.00,7.63,36.35,63.65
08/20/2019,0.00,0.00,0.00,7.51,42.14,57.86
08/13/2019,0.00,0.00,0.00,6.06,44.19,55.81
08/06/2019,0.00,0.00,0.00,0.00,42.85,57.15
07/30/2019,0.00,0.00,0.00,0.00,18.14,81.86
07/23/2019,0.00,0.00,0.00,0.00,11.52,88.48
07/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/25/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/18/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/11/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/04/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/28/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/21/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/14/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/07/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/30/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/23/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/19/2019,0.00,0.00,0.00,0.00,0.00,100.00
