Date,D4,D3,D2,D1,D0,None
10/29/2019,0.00,0.00,0.00,6.48,42.80,57.20
10/22/2019,0.00,0.00,3.34,28.82,65.23,34.77
10/15/2019,0.00,0.00,4.98,32.59,65.23,34.77
10/08/2019,0.00,0.00,1.50,31.84,59.37,40.63
10/01/2019,0.00,0.00,4.65,27.19,63.12,36.88
09/24/2019,0.00,0.00,0.15,19.23,76.84,23.16
09/17/2019,0.00,0.00,0.00,14.15,45.43,54.57
09/10/2019,0.00,0.00,0.00,11.77,41.55,58.45
09/03/2019,0.00,0.00,0.00,4.77,40.09,59.91
08/27/2019,0.00,0.00,0.00,1.48,27.20,72.80
08/20/2019,0.00,0.00,0.00,4.36,54.29,45.71
08/13/2019,0.00,0.00,0.00,1.20,51.19,48.81
08/06/2019,0.00,0.00,0.00,0.00,33.76,66.24
07/30/2019,0.00,0.00,0.00,0.00,14.17,85.83
07/23/2019,0.00,0.00,0.00,0.00,11.20,88.80
07/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/25/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/18/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/11/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/04/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/28/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/21/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/14/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/07/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/30/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/23/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/19/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/12/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/05/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/19/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/12/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/05/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/29/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/22/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/15/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/08/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/01/2019,0.00,0.00,0.00,0.00,0.00,100.00
12/25/2018,0.00,0.00,0.00,0.00,0.00,100.00
12/18/2018,0.00,0.00,0.00,0.00,0.00,100.00
12/11/2018,0.00,0.00,0.00,0.00,0.00,100.00
12/04/2018,0.00,0.00,0.00,0.00,0.00,100.00
11/27/2018,0.00,0.00,0.00,0.00,0.00,100.00
11/20/2018,0.00,0.00,0.00,0.00,0.00,100.00
11/13/2018,0.00,0.00,0.00,0.00,0.00,100.00
11/06/2018,0.00,0.00,0.00,0.00,0.00,100.00
10/30/2018,0.00,0.00,0.00,0.00,0.00,100.00
10/23/2018,0.00,0.00,0.00,0.00,0.00,100.00
10/16/2018,0.00,0.00,0.00,0.00,0.00,100.00
10/09/2018,0.00,0.00,0.00,0.00,0.00,100.00
10/02/2018,0.00,0.00,0.00,0.00,0.00,100.00
09/25/2018,0.00,0.00,0.00,0.00,0.00,100.00
09/18/2018,0.00,0.00,0.00,0.00,0.00,100.00
09/11/2018,0.00,0.00,0.00,0.00,0.00,100.00
09/04/2018,0.00,0.00,0.00,0.00,16.23,83.77
08/28/2018,0.00,0.00,0.00,0.00,16.19,83.81
08/21/2018,0.00,0.00,0.00,0.00,18.66,81.34
08/14/2018,0.00,0.00,0.00,0.00,25.03,74.97
08/07/2018,0.00,0.00,0.00,0.00,16.33,83.67
07/31/2018,0.00,0.00,0.00,0.00,18.60,81.40
07/24/2018,0.00,0.00,0.00,0.00,18.60,81.40
07/17/2018,0.00,0.00,0.00,0.00,8.60,91.40
07/10/2018,0.00,0.00,0.00,0.00,0.82,99.18
07/03/2018,0.00,0.00,0.00,0.00,0.82,99.18
06/26/2018,0.00,0.00,0.00,0.00,4.03,95.97
06/19/2018,0.00,0.00,0.00,0.00,8.60,91.40
06/12/2018,0.00,0.00,0.00,0.00,8.60,91.40
06/05/2018,0.00,0.00,0.00,0.00,17.09,82.91
05/29/2018,0.00,0.00,0.00,0.00,4.75,95.25
05/22/2018,0.00,0.00,0.00,0.00,0.00,100.00
05/15/2018,0.00,0.00,0.00,0.00,0.00,100.00
05/08/2018,0.00,0.00,0.00,0.00,0.00,100.00
05/01/2018,0.00,0.00,0.00,0.00,0.00,100.00
04/24/2018,0.00,0.00,0.00,0.00,0.00,100.00
04/17/2018,0.00,0.00,0.00,0.00,0.00,100.00
04/10/2018,0.00,0.00,0.00,0.00,0.00,100.00
04/03/2018,0.00,0.00,0.00,0.00,0.00,100.00
03/27/2018,0.00,0.00,0.00,0.00,0.00,100.00
03/20/2018,0.00,0.00,0.00,0.00,0.00,100.00
03/13/2018,0.00,0.00,0.00,0.00,0.00,100.00
03/06/2018,0.00,0.00,0.00,0.00,0.00,100.00
02/27/2018,0.00,0.00,0.00,0.00,0.00,100.00
02/20/2018,0.00,0.00,0.00,0.00,0.00,100.00
02/13/2018,0.00,0.00,0.00,0.00,18.84,81.16
02/06/2018,0.00,0.00,0.00,0.00,7.58,92.42
01/30/2018,0.00,0.00,0.00,0.00,5.75,94.25
01/23/2018,0.00,0.00,0.00,0.00,5.75,94.25
01/16/2018,0.00,0.00,0.00,0.00,5.75,94.25
01/09/2018,0.00,0.00,0.00,0.00,5.76,94.24
01/02/2018,0.00,0.00,0.00,0.00,5.76,94.24
12/26/2017,0.00,0.00,0.00,0.00,5.76,94.24
12/19/2017,0.00,0.00,0.00,0.00,6.95,93.05
12/12/2017,0.00,0.00,0.00,0.00,4.71,95.29
12/05/2017,0.00,0.00,0.00,0.00,4.71,95.29
11/28/2017,0.00,0.00,0.00,0.00,4.02,95.98
11/21/2017,0.00,0.00,0.00,0.00,4.02,95.98
11/14/2017,0.00,0.00,0.00,1.67,6.87,93.13
11/07/2017,0.00,0.00,0.00,1.67,7.03,92.97
10/31/2017,0.00,0.00,0.00,1.88,16.48,83.52
10/24/2017,0.00,0.00,0.00,4.60,24.60,75.40
10/17/2017,0.00,0.00,0.00,8.43,28.30,71.70
10/10/2017,0.00,0.00,0.00,8.43,38.37,61.63
10/03/2017,0.00,0.00,0.00,8.46,38.39,61.61
09/26/2017,0.00,0.00,0.00,8.46,38.05,61.95
09/19/2017,0.00,0.00,0.00,8.43,33.74,66.26
09/12/2017,0.00,0.00,0.00,0.00,25.79,74.21
09/05/2017,0.00,0.00,0.00,0.00,12.66,87.34
08/29/2017,0.00,0.00,0.00,0.00,12.66,87.34
08/22/2017,0.00,0.00,0.00,0.00,12.66,87.34
08/15/2017,0.00,0.00,0.00,0.00,10.49,89.51
08/08/2017,0.00,0.00,0.00,0.00,1.82,98.18
08/01/2017,0.00,0.00,0.00,0.00,1.82,98.18
07/25/2017,0.00,0.00,0.00,0.00,3.40,96.60
07/18/2017,0.00,0.00,0.00,0.00,3.64,96.36
07/11/2017,0.00,0.00,0.00,0.00,3.61,96.39
07/04/2017,0.00,0.00,0.00,0.00,3.24,96.76
06/27/2017,0.00,0.00,0.00,0.00,7.99,92.01
06/20/2017,0.00,0.00,0.00,0.00,7.99,92.01
06/13/2017,0.00,0.00,0.00,0.00,32.43,67.57
06/06/2017,0.00,0.00,0.00,0.00,0.00,100.00
05/30/2017,0.00,0.00,0.00,0.00,0.00,100.00
05/23/2017,0.00,0.00,0.00,0.00,0.00,100.00
05/16/2017,0.00,0.00,0.00,0.00,0.00,100.00
05/09/2017,0.00,0.00,0.00,0.00,0.00,100.00
05/02/2017,0.00,0.00,0.00,0.00,0.00,100.00
04/25/2017,0.00,0.00,0.00,0.00,10.44,89.56
04/18/2017,0.00,0.00,0.00,0.00,10.61,89.39
04/11/2017,0.00,0.00,0.00,0.00,10.61,89.39
04/04/2017,0.00,0.00,0.00,0.00,3.97,96.03
03/28/2017,0.00,0.00,0.00,0.00,3.97,96.03
03/21/2017,0.00,0.00,0.00,0.00,3.97,96.03
03/14/2017,0.00,0.00,0.00,0.00,3.97,96.03
03/07/2017,0.00,0.00,0.00,0.00,3.95,96.05
02/28/2017,0.00,0.00,0.00,0.00,52.45,47.55
02/21/2017,0.00,0.00,0.00,0.00,10.04,89.96
02/14/2017,0.00,0.00,0.00,0.00,0.00,100.00
02/07/2017,0.00,0.00,0.00,0.00,0.00,100.00
01/31/2017,0.00,0.00,0.00,0.00,0.00,100.00
01/24/2017,0.00,0.00,0.00,0.00,0.00,100.00
01/17/2017,0.00,0.00,0.00,0.00,0.00,100.00
01/10/2017,0.00,0.00,0.00,0.00,21.96,78.04
01/03/2017,0.00,0.00,0.00,0.00,23.81,76.19
12/27/2016,0.00,0.00,0.00,0.00,24.60,75.40
12/20/2016,0.00,0.00,0.00,6.08,46.62,53.38
12/13/2016,0.00,0.00,0.00,13.08,48.27,51.73
12/06/2016,0.00,0.00,2.43,14.09,48.39,51.61
11/29/2016,0.00,0.00,2.48,13.86,49.09,50.91
11/22/2016,0.00,0.00,2.48,17.20,52.38,47.62
11/15/2016,0.00,0.00,0.73,17.20,38.25,61.75
11/08/2016,0.00,0.00,0.00,12.94,20.36,79.64
11/01/2016,0.00,0.00,0.00,9.57,18.93,81.07
10/25/2016,0.00,0.00,0.00,0.00,14.14,85.86
10/18/2016,0.00,0.00,0.00,0.00,15.29,84.71
