Date,D4,D3,D2,D1,D0,None
10/29/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/22/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/15/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/08/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/01/2019,0.00,0.00,0.00,0.00,0.00,100.00
09/24/2019,0.00,0.00,0.00,0.00,0.00,100.00
09/17/2019,0.00,0.00,0.00,0.00,0.00,100.00
09/10/2019,0.00,0.00,0.00,0.00,7.54,92.46
09/03/2019,0.00,0.00,0.00,0.00,9.80,90.20
08/27/2019,0.00,0.00,0.00,0.00,9.23,90.77
08/20/2019,0.00,0.00,0.00,0.00,7.68,92.32
08/13/2019,0.00,0.00,0.00,0.00,7.68,92.32
08/06/2019,0.00,0.00,0.00,0.00,6.28,93.72
07/30/2019,0.00,0.00,0.00,0.00,4.75,95.25
07/23/2019,0.00,0.00,0.00,0.00,4.75,95.25
07/16/2019,0.00,0.00,0.00,0.00,6.67,93.33
07/09/2019,0.00,0.00,0.00,0.00,17.40,82.60
07/02/2019,0.00,0.00,0.00,0.00,23.13,76.87
06/25/2019,0.00,0.00,0.00,0.00,17.56,82.44
06/18/2019,0.00,0.00,0.00,0.00,17.56,82.44
06/11/2019,0.00,0.00,0.00,0.00,11.54,88.46
06/04/2019,0.00,0.00,0.00,0.00,7.94,92.06
05/28/2019,0.00,0.00,0.00,0.00,7.17,92.83
05/21/2019,0.00,0.00,0.00,0.00,7.17,92.83
05/14/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/07/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/30/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/23/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/19/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/12/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/05/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/19/2019,0.00,0.00,0.00,0.00,1.63,98.37
02/12/2019,0.00,0.00,0.00,0.00,1.63,98.37
02/05/2019,0.00,0.00,0.00,0.00,1.63,98.37
01/29/2019,0.00,0.00,0.00,0.00,1.93,98.07
01/22/2019,0.00,0.00,0.00,0.00,1.93,98.07
01/15/2019,0.00,0.00,0.00,0.00,1.93,98.07
01/08/2019,0.00,0.00,0.00,0.00,1.93,98.07
01/01/2019,0.00,0.00,0.00,0.00,1.93,98.07
12/25/2018,0.00,0.00,0.00,0.00,2.46,97.54
12/18/2018,0.00,0.00,0.00,0.00,2.46,97.54
12/11/2018,0.00,0.00,0.00,0.00,2.46,97.54
12/04/2018,0.00,0.00,0.00,0.00,2.46,97.54
11/27/2018,0.00,0.00,0.00,0.00,4.46,95.54
11/20/2018,0.00,0.00,0.00,0.00,4.46,95.54
11/13/2018,0.00,0.00,0.00,0.00,5.41,94.59
11/06/2018,0.00,0.00,0.00,0.00,5.41,94.59
10/30/2018,0.00,0.00,0.00,0.00,5.41,94.59
10/23/2018,0.00,0.00,0.00,0.09,7.96,92.04
10/16/2018,0.00,0.00,0.00,0.09,7.96,92.04
10/09/2018,0.00,0.00,0.06,1.81,8.95,91.05
10/02/2018,0.00,0.00,0.27,8.31,25.23,74.77
09/25/2018,0.00,0.00,0.27,8.31,32.95,67.05
