Date,D4,D3,D2,D1,D0,None
10/29/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/22/2019,0.00,0.00,0.00,0.00,0.32,99.68
10/15/2019,0.00,0.00,0.00,0.18,11.70,88.30
10/08/2019,0.00,0.00,0.00,0.78,17.82,82.18
10/01/2019,0.00,0.00,0.00,1.31,23.16,76.84
09/24/2019,0.00,0.00,0.00,0.00,8.39,91.61
09/17/2019,0.00,0.00,0.00,0.00,2.17,97.83
09/10/2019,0.00,0.00,0.00,0.00,0.00,100.00
09/03/2019,0.00,0.00,0.00,0.00,0.00,100.00
08/27/2019,0.00,0.00,0.00,0.00,0.00,100.00
08/20/2019,0.00,0.00,0.00,0.00,3.58,96.42
08/13/2019,0.00,0.00,0.00,0.00,3.46,96.54
08/06/2019,0.00,0.00,0.00,0.00,0.80,99.20
07/30/2019,0.00,0.00,0.00,0.00,0.80,99.20
07/23/2019,0.00,0.00,0.00,0.00,0.80,99.20
07/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/25/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/18/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/11/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/04/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/28/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/21/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/14/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/07/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/30/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/23/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/19/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/12/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/05/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/19/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/12/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/05/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/29/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/22/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/15/2019,0.00,0.00,0.00,0.00,0.00,100.00
01/08/2019,0.00,0.00,0.00,0.00,1.26,98.74
01/01/2019,0.00,0.00,0.00,0.00,2.86,97.14
12/25/2018,0.00,0.00,0.00,2.86,14.94,85.06
12/18/2018,0.00,0.00,0.00,2.86,11.35,88.65
12/11/2018,0.00,0.00,0.00,2.73,11.32,88.68
12/04/2018,0.00,0.00,0.00,0.00,10.89,89.11
11/27/2018,0.00,0.00,0.00,0.00,16.23,83.77
11/20/2018,0.00,0.00,0.00,0.00,7.93,92.07
11/13/2018,0.00,0.00,0.00,0.00,7.93,92.07
11/06/2018,0.00,0.00,0.00,0.08,9.24,90.76
10/30/2018,0.00,0.00,0.00,1.04,32.33,67.67
10/23/2018,0.00,0.00,0.00,1.17,32.34,67.66
10/16/2018,0.00,0.00,0.00,2.98,32.34,67.66
10/09/2018,0.00,0.00,0.96,14.12,54.71,45.29
10/02/2018,0.08,2.63,11.26,44.54,66.69,33.31
09/25/2018,0.08,2.63,11.26,42.18,63.35,36.65
09/18/2018,0.08,2.63,11.26,42.75,68.93,31.07
09/11/2018,0.08,2.63,11.26,42.75,68.93,31.07
09/04/2018,0.10,6.08,20.89,58.41,78.01,21.99
08/28/2018,3.99,12.78,36.79,64.89,83.37,16.63
08/21/2018,4.66,17.26,39.52,73.78,88.32,11.68
08/14/2018,5.54,25.45,54.45,83.33,97.76,2.24
08/07/2018,0.23,19.39,43.70,78.37,97.76,2.24
07/31/2018,0.00,17.46,31.45,65.30,94.88,5.12
