Date,D4,D3,D2,D1,D0,None
10/29/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/22/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/15/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/08/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/01/2019,0.00,0.00,0.00,0.00,0.00,100.00
09/24/2019,0.00,0.00,0.00,0.00,0.00,100.00
09/17/2019,0.00,0.00,0.00,0.00,0.00,100.00
09/10/2019,0.00,0.00,0.00,0.00,5.99,94.01
09/03/2019,0.00,0.00,0.00,0.62,6.58,93.42
08/27/2019,0.00,0.00,0.62,6.58,18.57,81.43
08/20/2019,0.00,0.00,0.62,6.58,27.11,72.89
08/13/2019,0.00,0.00,0.62,6.58,28.93,71.07
08/06/2019,0.00,0.00,0.00,2.89,27.90,72.10
07/30/2019,0.00,0.00,0.00,1.81,23.94,76.06
07/23/2019,0.00,0.00,0.00,1.11,22.30,77.70
07/16/2019,0.00,0.00,0.00,4.35,26.18,73.82
07/09/2019,0.00,0.00,2.38,10.97,39.54,60.46
07/02/2019,0.00,0.00,2.38,10.68,39.53,60.47
06/25/2019,0.00,0.00,3.77,14.55,41.68,58.32
06/18/2019,0.00,0.00,6.78,21.66,41.68,58.32
06/11/2019,0.00,0.00,0.00,17.37,37.65,62.35
06/04/2019,0.00,0.00,0.00,11.80,28.86,71.14
05/28/2019,0.00,0.00,0.00,0.00,24.05,75.95
05/21/2019,0.00,0.00,0.00,0.00,23.08,76.92
05/14/2019,0.00,0.00,0.00,0.00,8.62,91.38
05/07/2019,0.00,0.00,0.00,0.00,8.62,91.38
04/30/2019,0.00,0.00,0.00,0.00,18.04,81.96
04/23/2019,0.00,0.00,0.00,0.00,18.35,81.65
04/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/19/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/12/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/05/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/19/2019,0.00,0.00,0.00,0.00,17.37,82.63
02/12/2019,0.00,0.00,0.00,0.00,17.37,82.63
02/05/2019,0.00,0.00,0.00,0.00,20.24,79.76
01/29/2019,0.00,0.00,0.00,4.30,33.79,66.21
01/22/2019,0.00,0.00,0.00,4.30,33.79,66.21
01/15/2019,0.00,0.00,0.00,4.30,33.79,66.21
01/08/2019,0.00,0.00,0.00,4.30,33.79,66.21
01/01/2019,0.00,0.00,0.00,15.48,33.79,66.21
12/25/2018,0.00,0.00,0.00,16.72,35.80,64.20
12/18/2018,0.00,0.00,0.00,16.72,35.80,64.20
12/11/2018,0.00,0.00,0.00,16.72,35.80,64.20
12/04/2018,0.00,0.00,0.00,16.72,35.80,64.20
11/27/2018,0.00,0.00,0.00,26.55,46.70,53.30
11/20/2018,0.00,0.00,0.00,26.55,46.71,53.29
11/13/2018,0.00,0.00,0.00,26.55,60.23,39.77
11/06/2018,0.00,0.00,7.07,26.55,60.23,39.77
10/30/2018,0.00,0.00,7.07,26.55,60.23,39.77
10/23/2018,0.00,0.40,10.32,38.50,63.55,36.45
10/16/2018,0.00,0.40,10.32,38.50,63.55,36.45
10/09/2018,0.00,1.12,13.20,39.49,66.78,33.22
10/02/2018,0.00,1.29,14.89,44.30,75.80,24.20
09/25/2018,0.00,1.29,16.78,44.37,83.64,16.36
