Date,D4,D3,D2,D1,D0,None
10/29/2019,0.00,0.00,0.00,0.00,1.57,98.43
10/22/2019,0.00,0.00,0.00,0.00,1.57,98.43
10/15/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/08/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/01/2019,0.00,0.00,0.00,0.00,0.00,100.00
09/24/2019,0.00,0.00,0.00,0.00,0.00,100.00
09/17/2019,0.00,0.00,0.00,0.00,0.00,100.00
09/10/2019,0.00,0.00,0.00,0.00,1.07,98.93
09/03/2019,0.00,0.00,0.00,0.00,1.49,98.51
08/27/2019,0.00,0.00,0.00,0.00,1.70,98.30
08/20/2019,0.00,0.00,0.00,0.00,1.70,98.30
08/13/2019,0.00,0.00,0.00,0.00,0.99,99.01
08/06/2019,0.00,0.00,0.00,0.00,3.92,96.08
07/30/2019,0.00,0.00,0.00,0.00,2.69,97.31
07/23/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/25/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/18/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/11/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/04/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/28/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/21/2019,0.00,0.00,0.00,0.00,1.48,98.52
05/14/2019,0.00,0.00,0.00,0.00,1.51,98.49
05/07/2019,0.00,0.00,0.00,0.00,1.51,98.49
04/30/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/23/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/19/2019,0.00,0.00,0.00,0.00,1.54,98.46
03/12/2019,0.00,0.00,0.00,0.00,9.59,90.41
