Date,D4,D3,D2,D1,D0,None
10/29/2019,0.00,0.00,0.00,25.22,61.11,38.89
10/22/2019,0.00,0.00,0.00,26.05,63.62,36.38
10/15/2019,0.00,0.00,0.00,26.05,68.40,31.60
10/08/2019,0.00,0.00,0.00,18.22,71.48,28.52
10/01/2019,0.00,0.00,0.00,12.37,80.59,19.41
09/24/2019,0.00,0.00,0.00,8.85,65.78,34.22
09/17/2019,0.00,0.00,0.00,5.00,18.31,81.69
09/10/2019,0.00,0.00,0.00,1.87,10.37,89.63
09/03/2019,0.00,0.00,0.00,0.00,10.37,89.63
08/27/2019,0.00,0.00,0.00,0.00,13.26,86.74
08/20/2019,0.00,0.00,0.00,0.00,13.19,86.81
08/13/2019,0.00,0.00,0.00,0.00,5.67,94.33
08/06/2019,0.00,0.00,0.00,0.00,9.90,90.10
07/30/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/23/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/25/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/18/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/11/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/04/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/28/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/21/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/14/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/07/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/30/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/23/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/19/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/12/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/05/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/19/2019,0.00,0.00,0.00,0.00,0.00,100.00
