Date,D4,D3,D2,D1,D0,None
10/29/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/22/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/15/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/08/2019,0.00,0.00,0.00,0.00,0.00,100.00
10/01/2019,0.00,0.00,0.00,0.00,0.00,100.00
09/24/2019,0.00,0.00,0.00,0.00,0.00,100.00
09/17/2019,0.00,0.00,0.00,0.00,0.00,100.00
09/10/2019,0.00,0.00,0.00,0.00,0.00,100.00
09/03/2019,0.00,0.00,0.00,0.00,0.00,100.00
08/27/2019,0.00,0.00,0.00,0.00,0.00,100.00
08/20/2019,0.00,0.00,0.00,0.00,0.00,100.00
08/13/2019,0.00,0.00,0.00,0.00,0.00,100.00
08/06/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/30/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/23/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
07/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/25/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/18/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/11/2019,0.00,0.00,0.00,0.00,0.00,100.00
06/04/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/28/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/21/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/14/2019,0.00,0.00,0.00,0.00,0.00,100.00
05/07/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/30/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/23/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/16/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/09/2019,0.00,0.00,0.00,0.00,0.00,100.00
04/02/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/19/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/12/2019,0.00,0.00,0.00,0.00,0.00,100.00
03/05/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/26/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/19/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/12/2019,0.00,0.00,0.00,0.00,0.00,100.00
02/05/2019,0.00,0.00,0.00,0.00,4.75,95.25
01/29/2019,0.00,0.00,0.00,0.00,4.75,95.25
01/22/2019,0.00,0.00,0.00,0.00,4.75,95.25
01/15/2019,0.00,0.00,0.00,0.00,4.75,95.25
01/08/2019,0.00,0.00,0.00,0.00,4.75,95.25
01/01/2019,0.00,0.00,0.00,0.00,4.75,95.25
12/25/2018,0.00,0.00,0.00,0.00,6.87,93.13
12/18/2018,0.00,0.00,0.00,0.00,6.87,93.13
12/11/2018,0.00,0.00,0.00,0.00,6.87,93.13
12/04/2018,0.00,0.00,0.00,0.00,6.87,93.13
11/27/2018,0.00,0.00,0.00,3.98,16.47,83.53
11/20/2018,0.00,0.00,0.00,3.98,16.47,83.53
11/13/2018,0.00,0.00,0.00,3.98,16.47,83.53
11/06/2018,0.00,0.00,0.00,3.98,16.47,83.53
10/30/2018,0.00,0.00,0.00,3.98,16.47,83.53
10/23/2018,0.00,0.00,0.00,7.65,23.37,76.63
10/16/2018,0.00,0.00,0.00,7.65,23.37,76.63
10/09/2018,0.00,0.00,2.02,11.70,36.12,63.88
10/02/2018,0.00,0.00,2.02,11.70,36.66,63.34
09/25/2018,0.00,0.00,3.56,16.50,45.67,54.33
